60932,N-45,10/6/2013,N-45,,19212N NMB/NPR0200010920300012 CUR  (N),NPR,," 2,500,000.00 ", 0.00 ," 2,500,000.00 ",Nepalese Rupee,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Petty cash for site,Petty cash for site,1
61004,N-48,10/3/2013,N-48,,19213N NMB/NPR 0200010920300038 CUR  (N),NPR,,9835000, 0.00 ," 9,835,000.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from SCBNL to NMB,Fund transfer from SCBNL to NMB,98.35
61006,N-49,10/8/2013,N-49,,19214N HBL/USD 04813110019 CUR (N),USD, 0.00 ,4000000, 0.00 ," 394,000,000.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Transfer from SCBNL to Himalayan Bank,Transfer from SCBNL to Himalayan Bank,98.5
61010,N-50,10/8/2013,N-50,,19214N HBL/USD 04813110019 CUR (N),USD, 0.00 ,100, 0.00 ," 9,850.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from SCBNL to HBL,Fund transfer from SCBNL to HBL,98.5
61030,N-52,10/8/2013,N-52,,19999N NPRClearing  (N),NPR,,110000, 0.00 ," 110,000.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Loan to Sunita Gurung,Loan to Sunita Gurung,99.09999189
61032,N-53,10/8/2013,N-53,,19999N NPRClearing  (N),NPR,,510586.37, 0.00 ," 510,586.37 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KIRNE (N),KHIM1,Payment to Bini International,Payment to Bini International,99.10007317
61036,N-54,10/8/2013,N-54,,19999N NPRClearing  (N),NPR,,583902, 0.00 ," 583,902.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),GM,GM's res rent,GM's res rent,99.0998055
61037,N-55,10/9/2013,N-55,,19000N PettyCash/NPR Kathmandu (N),NPR,," 20,895.00 ", 0.00 ," 20,895.00 ",Nepalese Rupee,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),ADM,Petty cash,Petty cash,1
61066,N-58,9/19/2013,N-58,,19999N NPRClearing  (N),NPR,,300000, 0.00 ," 300,000.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KIRNE (N),KHIM1,Payment to IPPAN,Payment to IPPAN,98.45006777
61078,N-59,10/10/2013,N-59,,19999N NPRClearing  (N),NPR,,1471381.22, 0.00 ," 1,471,381.22 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),GM,GM's salary for Oct'13,GM's salary for Oct'13,100.2584663
61085,N-60,10/7/2013,N-60,,19200N SCB/USD 01-0417319-51 CUR (N),USD, 0.00 ,2500000, 0.00 ," 247,375,000.00 ",US Dollar,Oct 2013 [Ashwin 2070],Himal Power Ltd (NPR),KATHMANDU (N),FIN,FD Matured,FD Matured,98.95
