164481,N-953,9/19/2020,N-953,19660N FixedDeposits EBL (N),,USD," 4,000,000.00 ", 0.00 ," 470,800,000.00 ", 0.00 ,US Dollar,Oct 2020 [Ashwin 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,EBL FD account to EBL  USD account .,EBL FD account to EBL  USD account .,117.7
165289,N-954,11/13/2020,N-954,19212N NMB/NPR0200010920300012 CUR  (N),,NPR, 0.00 , 0.00 , 0.00 , 0.00 ,Nepalese Rupee,Nov 2020 [Kartik 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,VOID,VOID,1
165290,N-955,10/20/2020,N-955,19201N SCB/NPR 01-0417289-01 CUR  (N),,NPR," 2,800,761.60 ", 0.00 ," 2,800,761.60 ", 0.00 ,Nepalese Rupee,Nov 2020 [Kartik 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Andrew Bonus 2019/20 (SCBNL#703),Andrew Bonus 2019/20 (SCBNL#703),1
165311,N-956,11/3/2020,N-956,19212N NMB/NPR0200010920300012 CUR  (N),,NPR," 872,195.92 ", 0.00 ," 872,195.92 ", 0.00 ,Nepalese Rupee,Nov 2020 [Kartik 2077],Himal Power Ltd (NPR),KATHMANDU (N),Khimti JVC,Fund transfer for Advance payments of Kondor Abrasivi(PO 6989),Fund transfer for Advance payments of Kondor Abrasivi(PO 6989),1
165312,N-957,11/3/2020,N-957,19212N NMB/NPR0200010920300012 CUR  (N),,NPR," 156,816.00 ", 0.00 ," 156,816.00 ", 0.00 ,Nepalese Rupee,Nov 2020 [Kartik 2077],Himal Power Ltd (NPR),KATHMANDU (N),Khimti JVC,Advance payment to Gilbert Gilkes (PO/N-0006568),Advance payment to Gilbert Gilkes (PO/N-0006568),1
165350,N-958,11/13/2020,N-958,19212N NMB/NPR0200010920300012 CUR  (N),,NPR, 0.00 , 0.00 , 0.00 , 0.00 ,Nepalese Rupee,Nov 2020 [Kartik 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,VOID,VOID,1
166063,N-959,7/15/2020,N-959,19211N SCB/USD 01-1107496-53 CUR (N),,USD," 8,573.82 ", 0.00 ," 1,025,000.00 ", 0.00 ,US Dollar,Jul 2020 [Ashad 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Advance to Firely International,Advance to Firely International,119.5499789
166419,N-960,1/6/2021,N-960,19212N NMB/NPR0200010920300012 CUR  (N),,NPR, 0.00 , 0.00 , 0.00 , 0.00 ,Nepalese Rupee,Jan 2021 [Paush 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,VOID,VOID,1
168499,N-961,1/28/2021,N-961,19216N EBL/USD 03500105200629 CUR  (N),,USD," 850,000.00 ", 0.00 ," 99,110,000.00 ", 0.00 ,US Dollar,Feb 2021 [Magh 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund  transfer  EBL to EBL,Fund  transfer  EBL to EBL,116.6
169483,N-962,3/3/2021,N-962,19216N EBL/USD 03500105200629 CUR  (N),,USD," 850,000.00 ", 0.00 ," 98,727,500.00 ", 0.00 ,US Dollar,Mar 2021 [Phalgun 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from EBL USD to NPR,Fund transfer from EBL USD to NPR,116.15
169490,N-963,3/12/2021,N-963,19213N NMB/NPR 0200010920300038 CUR  (N),,NPR," 360,000,000.00 ", 0.00 ," 360,000,000.00 ", 0.00 ,Nepalese Rupee,Mar 2021 [Phalgun 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from NMB to SCB,Fund transfer from NMB to SCB,1
169491,N-964,3/12/2021,N-964,19213N NMB/NPR 0200010920300038 CUR  (N),,NPR," 200,000,000.00 ", 0.00 ," 200,000,000.00 ", 0.00 ,Nepalese Rupee,Mar 2021 [Phalgun 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from NMB to EBL,Fund transfer from NMB to EBL,1
169492,N-965,3/12/2021,N-965,19220N NMB/USD 0010010920300053 CUR (N),,USD," 1,000,000.00 ", 0.00 ," 116,900,000.00 ", 0.00 ,US Dollar,Mar 2021 [Phalgun 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from NMB to EBL,Fund transfer from NMB to EBL,116.9
170685,N-966,3/27/2021,N-966,19212N NMB/NPR0200010920300012 CUR  (N),,NPR," 27,552.00 ", 0.00 ," 27,552.00 ", 0.00 ,Nepalese Rupee,Apr 2021 [Chaitra 2077],Himal Power Ltd (NPR),KATHMANDU (N),Khimti JVC,Petty Cash-Sunita,Petty Cash-Sunita,1
172037,N-967,2/19/2021,N-967,19216N EBL/USD 03500105200629 CUR  (N),,USD," 650,000.00 ", 0.00 ," 75,237,500.00 ", 0.00 ,US Dollar,Jun 2021 [Jestha 2078],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund transfer from EBL USD to NPR,Fund transfer from EBL USD to NPR,115.75
172038,N-968,3/3/2021,N-968,19218N EBL/NPR 03500105200628 CUR  (N),,NPR, 0.00 , 0.00 , 0.00 , 0.00 ,Nepalese Rupee,Jun 2021 [Jestha 2078],Himal Power Ltd (NPR),KATHMANDU (N),FIN,VOID,VOID,1
172085,N-969,4/2/2021,N-969,19212N NMB/NPR0200010920300012 CUR  (N),,NPR," 30,359.00 ", 0.00 ," 30,359.00 ", 0.00 ,Nepalese Rupee,Jun 2021 [Jestha 2078],Himal Power Ltd (NPR),KATHMANDU (N),Khimti JVC,Rect-Kandevta Fruits,Rect-Kandevta Fruits,1
172590,N-970,7/1/2021,N-970,19213N NMB/NPR 0200010920300038 CUR  (N),,NPR, 0.00 , 0.00 , 0.00 , 0.00 ,Nepalese Rupee,Jul 2021 [Ashad 2078],Himal Power Ltd (NPR),KATHMANDU (N),Khimti JVC,VOID,VOID,1
173380,N-971,8/3/2021,N-971,19212N NMB/NPR0200010920300012 CUR  (N),,NPR," 29,705.00 ", 0.00 ," 29,705.00 ", 0.00 ,Nepalese Rupee,Aug 2021 [Shrawan 2078],Himal Power Ltd (NPR),KATHMANDU (N),Khimti JVC,Petty Cash-Sunita,Petty Cash-Sunita,1
174860,N-972,4/7/2021,N-972,19200N SCB/USD 01-0417319-51 CUR (N),,USD," 2,000,000.00 ", 0.00 ," 235,900,000.00 ", 0.00 ,US Dollar,Apr 2021 [Chaitra 2077],Himal Power Ltd (NPR),KATHMANDU (N),FIN,Fund Transfer from SCB to NMB,Fund Transfer from SCB to NMB,117.95
