167384,9/11/2020,IA/N-0003743,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #3_4_5,Himal Power Ltd (NPR),Sep 2020 [Bhadra 2077],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0057,Litre,120,436.10575
167386,21/09/2020,IA/N-0003744,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #4,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Generator : 0022.001.0019,Piece,1,66732.15
167387,27/09/2020,IA/N-0003745,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,38,85.84078947
167388,28/09/2020,IA/N-0003746,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,62,85.84064516
167389,29/09/2020,IA/N-0003747,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,33,85.84060606
167392,10/1/2020,IA/N-0003748,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Drinking water supply line,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Nipple : 1001.004.0009,Piece,2,185.32
167393,10/5/2020,IA/N-0003749,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Work shop use,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Steel : Clamp : 1000.011.0012,Piece,8,13.27
167394,10/7/2020,IA/N-0003750,14100 SparePart,12100 FixedAssetUnderConstruction,,KREC,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Miscellaneous : 0134.001.0022,metre,0.3,60
167396,10/10/2020,IA/N-0003751,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Unit #1,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Adhesives : 1006.001.0002,Litre,2,575.22
167397,10/10/2020,IA/N-0003752,14100 SparePart,66040 RepMaintElectroTechPlantInstal,,Unit #1,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Relay Protections : 0049.001.0008,Piece,1,375
167398,10/11/2020,IA/N-0003753,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux # 6264,Himal Power Ltd (NPR),Oct 2020 [Ashwin 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,58,85.84068966
