201330,52495.NPR Mahalaxmi Vehicle Service Pvt Ltd
201331,50787.NPR Nepal Environmental & Scientific Service (P) Ltd
201338,52461.NPR Shree Kandevta Phalphul Tatha Juice Centre
201339,50641.NPR Leon Auto Works
201359,52456.NPR HPL Guest House/Staff Mess
201360,50787.NPR Nepal Environmental & Scientific Service (P) Ltd
201361,50568.NPR Prashant Trade & General Suppliers
201362,50995.NPR Jirel Store
201363,52167.NPR Bhandari Kirana Stores
201366,52308.NPR MAC Traders
201367,51007.NPR Kathmandu Electricals and Suppliers
201368,50030.NPR Constellation Pvt. Ltd.
201369,50921.NPR Sparklink Enterprises Pvt Ltd
201370,52150.NPR Ojha & Associates
201371,52429.NPR Swastik Auto Servicing Station
201394,52397.NPR Karki Hardware Pasal
201395,50998.NPR Dhulikhel Hospital
201396,50995.NPR Jirel Store
201399,52331.NPR Sahadev Tailors (Sahadev Nepali)
201405,52150.NPR Ojha & Associates
201408,52497.NPR Bhat-Bhateni Super Market
201409,50206.NRP Saleways Departmental Store Pvt. Ltd.
201410,52426.NPR Siddhartha Drinking Water Supply
201418,52331.NPR Sahadev Tailors (Sahadev Nepali)
201419,52446.NPR Shree Deepjyoti Hardware and Supplier (Shree Deepjyoti Harware & Suppliers)
201423,52497.NPR Bhat-Bhateni Super Market
201446,52415.NPR Raindrop Inc. Pvt. Ltd.
201452,50216.NPR S. Four Trading Pvt Ltd.
201453,"52498.NPR American Life Insurance Company, Metlife Nepal"
201454,52188.NPR Trishakti Fuel Center
201458,50847.NPR Prabhukiran Computers
201460,52223.NPR Aayusha Trading Concern
201462,52465.NPR Himalayan Everest Insurance Ltd
201486,52429.NPR Swastik Auto Servicing Station
201488,50212.NRS Atc Pvt. Ltd
201489,52282.NPR Premier Insurance Co. (Nepal) Ltd.
201491,52429.NPR Swastik Auto Servicing Station
201492,52465.NPR Himalayan Everest Insurance Ltd
201534,51109.NPR Rigo Technologies Pvt. Ltd
201535,50808.NPR Bini International Pvt Ltd.
201536,50598.NRS Jyoti Shree Nepal Pvt Ltd
201541,51060.NPR Ayushree Enterprises
201548,52456.NPR HPL Guest House/Staff Mess
201549,50641.NPR Leon Auto Works
201550,51111.NPR Cas Trading House Pvt Ltd
201551,52446.NPR Shree Deepjyoti Hardware and Supplier (Shree Deepjyoti Harware & Suppliers)
201553,52456.NPR HPL Guest House/Staff Mess
201559,50101.NPR Prabha Sthapit
201568,50937.NPR Smart Cleaning Solution Pvt Ltd
201569,50942.NPR Suvidha Sewa Pvt Ltd
201614,52497.NPR Bhat-Bhateni Super Market
201622,50590.NPR Netfiniti Pvt. Ltd.
201625,52237.NPR Global Risk Consultants
201630,51007.NPR Kathmandu Electricals and Suppliers
201631,"51055.NPR New B. R, Enterprises"
201633,50942.NPR Suvidha Sewa Pvt Ltd
201634,50143.NPR WorldLink Communications Pvt Ltd
201635,50143.NPR WorldLink Communications Pvt Ltd
201651,50974.NPR Agni-Rakshek Supply's
201662,51007.NPR Kathmandu Electricals and Suppliers
201663,50024.NPR BM Enterprises
201664,50012.NPR Annex Advertising Service
201667,52495.NPR Mahalaxmi Vehicle Service Pvt Ltd
201669,52165.NPR Shrestha Construction and Suppliers PVT. LTD
201670,50808.NPR Bini International Pvt Ltd.
201671,52331.NPR Sahadev Tailors (Sahadev Nepali)
201680,50995.NPR Jirel Store
201682,50024.NPR BM Enterprises
201683,52473.NPR S&B Suppliers
201684,50995.NPR Jirel Store
201685,52361.NPR Milti Pharmacy
201686,50808.NPR Bini International Pvt Ltd.
201689,52456.NPR HPL Guest House/Staff Mess
201690,50995.NPR Jirel Store
201700,51179.NPR National Society for Earthquake Technology-Nepal(NSET)
201701,52367.NPR Taradal Battalion
201702,52367.NPR Taradal Battalion
201703,52497.NPR Bhat-Bhateni Super Market
201706,52467.NPR Alisha Electrical Center
201722,52456.NPR HPL Guest House/Staff Mess
201726,52501.NPR Parbat Shrestha
201764,50707.NPR Norvic International Hospital and Medical College Pvt Ltd
201773,50977.NPR Shree Balaji Enterprises
201774,52497.NPR Bhat-Bhateni Super Market
201775,52497.NPR Bhat-Bhateni Super Market
