201519,12/7/2023,IA/N-0004921,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector manintenance,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Miscellaneous : 0134.001.0022,metre,1.5,60
201520,12/8/2023,IA/N-0004922,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,23,154.8673913
201521,12/8/2023,IA/N-0004923,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Steel : Clamp : 1000.011.0012,Piece,2,13.27
201522,12/8/2023,IA/N-0004924,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,G1 brake system,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Generator : 0022.001.0066,Piece,1,1474.72
201523,12/11/2023,IA/N-0004925,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,41,154.8673171
201524,12/11/2023,IA/N-0004926,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,10,154.867
201525,12/13/2023,IA/N-0004927,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,2,154.865
201526,12/14/2023,IA/N-0004928,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,HVAC Pump at Power house,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : HVAC : 0095.001.0024,Piece,1,565
201527,12/15/2023,IA/N-0004929,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3480,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,46,154.8671739
201528,12/15/2023,IA/N-0004930,14000 RawMaterialSemiManufacture,62501 DieselPremises,,Head woks,Himal Power Ltd (NPR),Dec 2023 [Mangsir 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,220,154.8672727
201529,12/17/2023,IA/N-0004931,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Workshop,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,5,154.868
201530,12/24/2023,IA/N-0004932,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,53,154.8671698
201531,12/25/2023,IA/N-0004933,14100 SparePart,66040 RepMaintElectroTechPlantInstal,,Unit #3,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Breaker Cubicles : 0034.001.0005,Piece,1,176165
201532,12/26/2023,IA/N-0004934,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,58,154.8672414
201653,12/28/2023,IA/N-0004935,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3483,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,29,154.8672414
201655,12/29/2023,IA/N-0004936,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #4175,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,21,154.8671429
201656,12/31/2023,IA/N-0004937,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,78,154.8673077
201659,12/31/2023,IA/N-0004938,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #5408,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,41,154.8673171
201660,12/31/2023,IA/N-0004939,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Jan 2024 [Paush 2080],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,10,154.867
